title,时效性,效力位阶,制定机关,发文字号,公布日期,实施日期,原文链接
广州市科技和信息化局关于印发《关于加快云计算产业的发展行动计划(2011―2015年)》的通知,现行有效,地方工作文件,广州市科技和信息化局,穗科信字〔2012〕1号,2012.01.04,2012.01.04,https://www.pkulaw.com/lar/7a67511b392267b354dfbbb4e29f1f74bdfb.html
深圳市人民政府办公厅关于印发深圳市人才发展“十二五”规划的通知,现行有效,地方工作文件,深圳市人民政府,深府办〔2012〕4号,2012.01.06,2012.01.06,https://www.pkulaw.com/lar/b5350f4716098019aaa65e2b2de238fdbdfb.html
辽阳市人民政府办公室关于深入推进创建国家级创业型城市工作的通知,现行有效,地方工作文件,辽阳市人民政府,辽市政发〔2012〕4号,2012.01.11,2012.01.11,https://www.pkulaw.com/lar/6d32154c6966ea2b70dd04a911cc7b19bdfb.html
海南省人民政府关于印发海南省知识产权战略纲要(2010―2020年)的通知(2012修订),现行有效,地方工作文件,海南省人民政府,琼府〔2012〕10号,2012.01.13,2012.01.13,https://www.pkulaw.com/lar/fe0819cf04c1b6f3bbf3512df7078f01bdfb.html
南宁市人民政府办公厅关于印发2012年南宁市国家电子商务示范城市创建工作目标任务的通知,废止或失效,地方工作文件,南宁市人民政府,南府办〔2012〕13号,2012.01.21,2012.01.21,https://www.pkulaw.com/lar/2e9d6c27942a7b27c6c5f221cd22c157bdfb.html
中共晋城市委、晋城市人民政府关于深入贯彻党的十七届六中全会精神加快建设文化强市的实施意见,现行有效,地方工作文件,晋城市人民政府,晋市发〔2012〕16号,2012.02.08,2012.02.08,https://www.pkulaw.com/lar/70a5821eb90290b865411099490943c0bdfb.html
上海市浦东新区人民政府关于印发浦东新区民政事业发展“十二五”规划的通知,现行有效,地方工作文件,浦东新区人民政府,浦府〔2012〕21号,2012.02.09,2012.02.09,https://www.pkulaw.com/lar/3637a47a71e216f13043df44b4a47ab0bdfb.html
深圳市民政局、深圳市发展和改革委员会关于印发社会工作事业发展“十二五”规划的通知,现行有效,地方工作文件,深圳市民政局;深圳市发展和改革委员会,深民〔2012〕27号,2012.02.09,2012.02.09,https://www.pkulaw.com/lar/a64b5ea88ff41886cb53670d404ee97cbdfb.html
西安市人民政府关于印发西安市金融业“十二五”发展规划的通知,现行有效,地方工作文件,西安市人民政府,市政发〔2012〕14号,2012.02.27,2012.02.27,https://www.pkulaw.com/lar/f684ae3aaa62faa8f9682dfece4eed55bdfb.html
柳州市人民政府办公室关于印发《柳州市卫生事业“十二·五”发展规划》的通知,现行有效,地方工作文件,柳州市人民政府,柳政办〔2012〕37号,2012.02.29,2012.02.29,https://www.pkulaw.com/lar/80985e11b7c807c4f5d556c66d2ee8e1bdfb.html
横县人民政府关于印发横县“十二五”人才发展规划的通知,现行有效,地方工作文件,横县人民政府,横政发[2012]8号,2012.02.29,2012.02.29,https://www.pkulaw.com/lar/0202c7b1b911966f7e0fe94b106dc34bbdfb.html
南宁市人民政府办公厅关于印发南宁市人力资源和社会保障发展十二五规划的通知,现行有效,地方工作文件,南宁市人民政府,南府办〔2012〕48号,2012.03.02,2012.03.02,https://www.pkulaw.com/lar/54ff5800c60ef5df7c182e4a56618e85bdfb.html
泉州市人民政府办公室转发泉州市信息化局关于“十二五”“智能泉州”建设专项规划主要任务责任分解表的通知,现行有效,地方工作文件,泉州市人民政府,泉政办〔2012〕50号,2012.03.05,2012.03.05,https://www.pkulaw.com/lar/f9a4eeb700677b42599580e6812b28c4bdfb.html
中共江苏省委组织部、江苏省科学技术厅、江苏省人力资源和社会保障厅关于组织申报2012年度“江苏省高层次创新创业人才引进计划”的通知,现行有效,地方工作文件,江苏省人民政府;中共江苏省委员会;江苏省科学技术厅,苏组通〔2012〕20号,2012.03.06,2012.03.06,https://www.pkulaw.com/lar/aceb7871a23d585bfc461c3745d05240bdfb.html
